City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Tessalit,ML,85.46,clear sky,20.1986,1.0114,
430,Omboue,GA,77.16,broken clouds,-1.5746,9.2618,Hotel Olako
431,Gombong,ID,77.14,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
432,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
433,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
440,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
442,Vanimo,PG,84.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
443,Mecca,SA,80.64,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
444,Pasni,PK,79.03,clear sky,25.2631,63.471,Kashmiri Hotal
445,Mahibadhoo,MV,83.1,broken clouds,3.7833,72.9667,Omadhoo Inn
447,Porto De Moz,BR,73.72,overcast clouds,-1.7483,-52.2383,Dormitório labelle
448,Mattru,SL,77.77,clear sky,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
449,Tevaitoa,PF,82.96,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
450,Laguna,US,75.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
451,Byron Bay,AU,76.89,scattered clouds,-28.65,153.6167,Backpackers Inn
452,Peringat,MY,76.98,few clouds,6.0333,102.2833,Daseda Guest House
453,Elk City,US,89.82,clear sky,35.412,-99.4043,Hampton Inn & Suites Elk City
454,Ratangarh,IN,77.81,few clouds,28.0833,74.6,Hotel Shri Laxmi Palace
455,Buluang,PH,82.08,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
458,Mixquiahuala,MX,84.13,clear sky,20.2333,-99.2167,Hotel Galeana
462,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
464,Acari,PE,73.98,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
466,Gat,IL,79.39,overcast clouds,31.61,34.7642,OlusHome
469,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
470,Esmeraldas,BR,78.04,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
474,Gizo,SB,81.16,moderate rain,-8.103,156.8419,Imagination Island
475,Pangoa,PE,71.2,broken clouds,-12.1167,-73.0,
476,Tolaga Bay,NZ,74.79,light rain,-38.3667,178.3,Tolaga Bay Motel
478,Farah,AF,71.24,clear sky,32.5,62.5,
479,Koulikoro,ML,86.11,overcast clouds,14.0,-7.75,
480,Ambilobe,MG,73.4,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
481,Amalapuram,IN,73.51,broken clouds,16.5833,82.0167,swayamprabha service apartments
487,Apaseo El Grande,MX,83.55,broken clouds,20.5667,-100.7,Angel
489,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
490,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Lindsey Hôtel
491,Woodward,US,76.12,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
492,Aden,YE,81.07,clear sky,12.7794,45.0367,Sama Emirate Hotel
494,Kings Point,US,82.0,broken clouds,26.4454,-80.1398,National Corporate Housing
495,Pemba,MZ,79.12,clear sky,-12.974,40.5178,Guesthouse Samotina
497,Manuk Mangkaw,PH,81.03,light rain,4.8,119.85,
499,Parakai,NZ,75.72,scattered clouds,-36.65,174.4333,Parkhurst B&B
500,Khao Yoi,TH,82.98,broken clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
505,Kirakira,SB,81.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
507,Meulaboh,ID,76.62,overcast clouds,4.1363,96.1285,Kost Pria
509,Tautira,PF,82.06,light rain,-17.7333,-149.15,Pension Oaoa
510,Bousse,BF,90.0,broken clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
511,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
512,Kerema,PG,80.56,overcast clouds,-7.9631,145.7785,Frena Lodge
514,Mirabad,AF,77.54,clear sky,30.4362,61.8383,
515,Diamantino,BR,74.52,broken clouds,-14.4086,-56.4461,Hotel Delta
518,Ananas,HT,74.34,few clouds,19.2466,-71.9557,
519,Richards Bay,ZA,71.82,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
525,Altamirano,MX,70.57,clear sky,16.8833,-92.15,
526,Gilbues,BR,78.21,scattered clouds,-9.8317,-45.3439,Hotel Camapuã
527,Vung Tau,VN,78.96,overcast clouds,10.346,107.0843,Seaside Resort
528,Mucurapo,TT,80.65,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
533,Nelson,NZ,70.7,light rain,-41.2833,173.2833,Trailways Hotel
540,Santo Domingo,DO,80.24,scattered clouds,18.5001,-69.9886,Cabañas City Heart
543,Cairns,AU,89.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
545,Pangkalanbuun,ID,76.44,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
548,Grand Gaube,MU,79.2,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
549,Port Hedland,AU,86.05,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
550,Kupang,ID,80.83,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
552,Anito,PH,79.84,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
555,Kieta,PG,81.72,light rain,-6.2167,155.6333,Uruna Bay Retreat
556,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
564,Pucallpa,PE,87.84,scattered clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
